ticket_id,customer_ref,created_date,category,csat_score
TIX00000,CUST00209,2025-09-29,shipping,4
TIX00001,ngallagher@example.net,2025-09-14,shipping,2
TIX00002,CUST00130,2026-02-20,billing,3
TIX00003,CUST00130,2026-04-26,billing,1
TIX00004,CUST00100,2025-11-13,billing,5
TIX00005,fbarker@example.org,2026-05-08,general_inquiry,1
TIX00006,CUST00100,2025-08-16,billing,5
TIX00007,michaelmiller@example.net,2025-08-05,product_defect,1
TIX00008,CUST00096,2025-09-25,general_inquiry,4
TIX00009,russell41@example.com,2026-03-07,shipping,1
TIX00010,CUST00061,2026-07-01,billing,5
TIX00011,CUST00061,2025-11-06,general_inquiry,2
TIX00012,CUST00201,2026-01-22,product_defect,5
TIX00013,CUST00201,2025-12-03,billing,2
TIX00014,leesara@example.org,2026-02-08,billing,1
TIX00015,CUST00110,2025-07-31,shipping,4
TIX00016,CUST00234,2025-10-29,product_defect,2
TIX00017,CUST00097,2025-09-30,product_defect,1
TIX00018,CUST00173,2025-11-01,billing,1
TIX00019,justinjohnson@example.com,2026-03-31,product_defect,5
TIX00020,CUST00055,2025-09-02,product_defect,4
TIX00021,CUST00212,2025-09-14,shipping,3
TIX00022,CUST00212,2026-04-28,billing,5
TIX00023,kmcdonald@example.org,2025-08-30,billing,4
TIX00024,CUST00023,2026-03-28,shipping,3
TIX00025,mware@example.com,2025-12-10,billing,3
TIX00026,mware@example.com,2025-10-18,product_defect,2
TIX00027,CUST00063,2025-09-28,shipping,1
TIX00028,CUST00063,2025-07-30,general_inquiry,2
TIX00029,CUST00063,2025-09-15,billing,1
TIX00030,CUST00230,2025-12-03,general_inquiry,1
TIX00031,CUST00230,2026-03-19,product_defect,1
TIX00032,CUST00230,2025-08-17,product_defect,5
TIX00033,CUST00291,2025-09-04,shipping,3
TIX00034,CUST00291,2026-02-14,billing,3
TIX00035,CUST00291,2025-08-15,shipping,2
TIX00036,CUST00258,2026-05-11,shipping,2
TIX00037,CUST00258,2026-07-04,billing,4
TIX00038,CUST00258,2026-06-26,billing,5
TIX00039,CUST00068,2025-11-14,general_inquiry,1
TIX00040,CUST00068,2025-08-04,billing,1
TIX00041,CUST00068,2025-08-29,product_defect,1
TIX00042,davidmurillo@example.com,2026-05-15,billing,3
TIX00043,melissa91@example.com,2026-05-27,billing,3
TIX00044,CUST00002,2025-10-23,general_inquiry,4
TIX00045,CUST00002,2026-03-29,shipping,4
TIX00046,amanda40@example.net,2025-08-28,shipping,5
TIX00047,amanda40@example.net,2026-07-24,shipping,1
TIX00048,CUST00271,2026-03-06,shipping,3
TIX00049,ronnie00@example.org,2026-04-07,shipping,3
TIX00050,CUST00024,2026-01-17,general_inquiry,4
TIX00051,CUST00024,2026-06-04,shipping,4
TIX00052,CUST00221,2025-10-01,billing,4
TIX00053,rodriguezjesus@example.net,2026-01-22,billing,3
TIX00054,CUST00247,2025-10-09,product_defect,1
TIX00055,CUST00247,2025-11-09,billing,1
TIX00056,teresa88@example.com,2026-05-24,general_inquiry,5
TIX00057,CUST00090,2026-02-17,product_defect,2
TIX00058,CUST00090,2026-05-04,product_defect,2
TIX00059,CUST00090,2025-08-05,billing,2
TIX00060,tuckerjason@example.com,2025-08-08,product_defect,2
TIX00061,riveramichelle@example.org,2025-09-15,shipping,5
TIX00062,CUST00053,2025-10-19,shipping,3
TIX00063,CUST00053,2025-11-21,product_defect,1
TIX00064,CUST00198,2026-07-04,general_inquiry,3
TIX00065,april14@example.net,2025-10-18,billing,1
TIX00066,april14@example.net,2026-07-23,shipping,2
TIX00067,CUST00282,2025-10-22,product_defect,5
TIX00068,CUST00282,2026-03-04,billing,5
TIX00069,CUST00196,2025-09-13,product_defect,4
TIX00070,andersonstephanie@example.org,2026-05-22,product_defect,2
TIX00071,CUST00196,2025-12-09,general_inquiry,3
TIX00072,taylordaniel@example.org,2025-10-27,product_defect,4
TIX00073,CUST00214,2025-08-21,product_defect,3
TIX00074,CUST00127,2025-08-21,billing,5
TIX00075,umatthews@example.org,2026-02-12,product_defect,2
TIX00076,popeeric@example.net,2026-02-24,shipping,1
TIX00077,CUST00140,2025-12-22,shipping,5
TIX00078,CUST00140,2026-02-08,billing,1
TIX00079,lmartin@example.net,2026-01-24,general_inquiry,2
TIX00080,CUST00203,2025-11-15,billing,5
TIX00081,CUST00203,2026-01-29,product_defect,2
TIX00082,CUST00175,2025-11-27,shipping,4
TIX00083,CUST00175,2026-06-13,shipping,2
TIX00084,CUST00150,2026-01-09,billing,4
TIX00085,ijones@example.com,2026-07-16,billing,4
TIX00086,CUST00150,2025-10-02,shipping,2
TIX00087,bradley51@example.com,2026-05-07,product_defect,3
TIX00088,bradley51@example.com,2025-08-27,billing,5
TIX00089,CUST00281,2025-10-11,general_inquiry,1
TIX00090,amy54@example.net,2025-08-26,product_defect,1
TIX00091,CUST00070,2026-02-14,product_defect,3
TIX00092,CUST00070,2026-02-07,billing,4
TIX00093,CUST00070,2026-06-11,product_defect,5
TIX00094,CUST00211,2025-11-01,shipping,5
TIX00095,daughertyrobert@example.org,2026-01-25,billing,5
TIX00096,CUST00211,2025-10-18,product_defect,4
TIX00097,CUST00153,2026-03-04,shipping,5
TIX00098,CUST00153,2026-06-04,general_inquiry,2
TIX00099,gravesfrank@example.com,2026-04-10,product_defect,2
TIX00100,thomashill@example.net,2026-01-06,product_defect,5
